Route 1,Route 2,Difference Raw,Difference Score
miss2,gray3,0.00632,0.00632
chal1,mwil2,-0.006322,0.006322
gray3,conu1,0.006375,0.006375
hand3,humb1,-0.006382,0.006382
blan1,gray3,0.006385,0.006385
snef1,belf1,0.006398,0.006398
sher3,cast2,-0.006432,0.006432
holy2,conu1,0.006441,0.006441
evan2,como0,0.006444,0.006444
cast1,suns4,-0.006473,0.006473
quan1,belf1,0.006505,0.006505
harv3,harv4,0.006513,0.006513
suns3,cast2,0.006521,0.006521
colu6,bros6,0.006594,0.006594
elli3,blan1,0.006596,0.006596
kitc2,demo2,-0.006629,0.006629
cast2,evan4,0.006631,0.006631
cast3,cast3,0.006639,0.006639
chal5,lapl4,0.006648,0.006648
chal5,snef1,0.006663,0.006663
lind3,cast1,0.006678,0.006678
harv1,cast1,-0.006751,0.006751
hand2,bier3,0.00677,0.00677
redc1,bros1,0.006772,0.006772
cnee3,cnee3,0.006778,0.006778
elli2,mwil7,0.006791,0.006791
shav4,cnee3,-0.006811,0.006811
huro1,humb1,-0.006841,0.006841
came1,gray1,-0.006842,0.006842
blan1,gray6,0.006871,0.006871
belf8,elli2,0.006887,0.006887
shav4,como0,0.006917,0.006917
bros5,cpea2,-0.006941,0.006941
gray1,gray6,-0.006968,0.006968
blan1,shav1,0.006985,0.006985
harv1,holy1,0.006998,0.006998
demo1,bros3,-0.007012,0.007012
chal5,huro2,-0.007027,0.007027
linc2,bros5,0.007076,0.007076
wett1,bier4,-0.007081,0.007081
bros5,bros6,-0.007123,0.007123
lind3,gray1,-0.007144,0.007144
gray6,demo2,0.007145,0.007145
bier1,hand1,0.007188,0.007188
cnee3,bros2,0.007194,0.007194
huro1,elli2,0.007227,0.007227
belf1,humb1,-0.007229,0.007229
lind2,belf1,0.007235,0.007235
harv3,capi1,-0.007236,0.007236
elli3,mwil2,0.007242,0.007242
conu5,bier4,-0.007276,0.007276
conu1,conu5,0.007282,0.007282
linc3,bier4,-0.007305,0.007305
bros5,miss3,-0.007314,0.007314
eolu3,harv4,0.007331,0.007331
lapl4,elli3,0.007351,0.007351
nava0,eolu3,-0.007355,0.007355
wils1,belf1,-0.007369,0.007369
demo1,kilp0,-0.007385,0.007385
cpea2,gray1,-0.007392,0.007392
miss2,evan3,-0.007407,0.007407
bros2,mwil5,-0.007412,0.007412
cnee3,sanl1,0.007424,0.007424
evan3,cule1,0.00748,0.00748
conu5,harv3,-0.007531,0.007531
eldi3,huro2,0.007532,0.007532
litt6,elbe2,-0.007535,0.007535
ante1,bros2,0.007564,0.007564
prin1,cule1,0.007615,0.007615
holy1,harv4,-0.007616,0.007616
chal5,miss3,-0.007623,0.007623
mwil7,chal1,0.007649,0.007649
elbe1,pikeeast,-0.007662,0.007662
bier1,hand2,0.007674,0.007674
harv1,evan1,-0.00768,0.00768
redc1,belf8,0.007698,0.007698
chib1,bier4,0.007728,0.007728
bier1,sher2,0.007789,0.007789
belf1,suns3,0.007791,0.007791
huro1,kitc2,-0.007839,0.007839
lind1,elli2,-0.007853,0.007853
eldi3,humb1,0.007867,0.007867
gray3,elbe1,0.007914,0.007914
harv4,cule1,0.007933,0.007933
chal1,linc1,0.00795,0.00795
chal1,snef2,0.007964,0.007964
mass2,gray8,-0.007973,0.007973
cpea2,quan2,0.007977,0.007977
mass2,bros3,-0.007987,0.007987
eldi4,mass3,0.007988,0.007988
cast1,chal1,-0.007994,0.007994
blan1,cast4,0.007997,0.007997
harv1,gray1,-0.008015,0.008015
came1,demo2,-0.008026,0.008026
blan1,holy1,0.008048,0.008048
holy1,blan1,-0.008052,0.008052
evan1,mwil6,-0.008069,0.008069
came1,mwil5,-0.008077,0.008077
torr2,bros5,-0.008078,0.008078
evan1,gray1,-0.008083,0.008083
colu2,demo2,0.008104,0.008104
hand3,bier4,0.008125,0.008125
conu5,litt6,-0.008127,0.008127
nmar2,chal5,0.008133,0.008133
colu6,demo2,-0.008147,0.008147
cast3,suns2,0.00816,0.00816
harv3,eolu3,-0.008165,0.008165
came1,shav1,0.008178,0.008178
conu1,quan2,-0.008204,0.008204
chal1,pikeeast,-0.008215,0.008215
